index	alcohol	class
7001	9.9	999
1	9.4	0
2	9.8	0
3	9.99	999
6498	9.8	0
4	9.8	0
5	9.4	0
6	9.4	
7	9.4	0
8	10	0
9	9.5	0
10	9.9	999
6499	10.5	0
11	9.2	
12	10.5	0
13	9.9	0
14	9.1	0
15	9.2	0
16	9.2	0
17	10.5	0
18	9.3	0
19	9	0
20	9.2	
21	9.4	0
22	9.7	0
23	9.5	0
24	9.4	0
25	9.7	0
26	9.3	0
27	9.5	0
28	9.5	0
29	9.4	0
30	9.8	0
31	10.1	0
32	10.6	0
33	9.8	0
34	9.4	0
35	9.2	0
36	9.6	
37	10.8	0
38	9.7	0
39	9.8	0
40	10.5	0
41	10.5	0
42	9.3	0
43	10.5	0
44	10.3	0
45	9.5	0
46	13.1	0
47	9.2	0
48	9.5	0
49	9.2	0
50	9.2	0
51	9.2	0
52	9.4	0
53	9.4	0
54	9.4	0
55	10.2	0
56	9.5	0
57	9.6	0
58	9.4	0
59	10	0
60	9.4	0
61	9.2	0
62	9.3	0
63	9.5	0
64	9.8	0
65	10.9	0
66	10.9	0
67	9.6	0
68	10.7	0
69	10.7	0
70	10.5	0
71	9.5	0
72	9.5	0
73	9.5	0
74	9.2	0
75	9.6	0
76	10.5	0
77	10.5	0
78	10.7	0
79	10.1	0
80	9.1	0
81	9.2	0
82	9.4	0
83	9.1	0
84	9.4	0
85	10.3	0
86	10.1	0
87	9.9	0
88	9.6	0
89	9.5	0
90	9	0
91	9.5	0
92	9.9	0
93	9.8	0
94	9.6	0
95	10.5	0
96	12.9	0
97	10.7	0
98	9.2	0
99	9.8	0
100	9	0
101	10.2	0
102	10.4	0
103	9	0
104	9.2	0
105	9.4	0
106	9.2	0
107	9.3	0
108	9.3	0
109	9.6	0
110	9.3	0
111	9.5	0
112	9.8	0
113	9.8	0
114	9.7	0
115	9.5	0
116	10.5	0
117	10	0
118	9.4	0
119	10.9	0
120	9.2	0
121	9	0
122	10.9	0
123	9.2	0
124	9.5	0
125	9.5	0
126	9.4	0
127	10.9	0
128	10.9	0
129	10.5	0
130	9.4	0
131	9.4	0
132	13	0
133	13	0
134	9.8	0
135	9.9	0
136	9.6	0
137	9.5	0
138	9.2	0
139	9.5	0
140	9.5	0
141	9.6	0
142	9.5	0
143	14	0
144	9.4	0
145	14	0
146	9.4	0
147	10	0
148	9.3	0
149	10.2	0
150	10.5	0
151	10.3	0
152	9.4	0
153	10.1	0
154	10.1	0
155	10.5	0
156	10.5	0
157	10.5	0
158	10.5	0
159	9.3	0
160	9.3	0
161	9.6	0
162	9.2	0
163	10	0
164	9.4	0
165	9.4	0
166	9.5	0
167	10.2	0
168	9	0
169	10.4	0
170	9.5	0
171	9.1	0
172	9.2	0
173	9.2	0
174	11.5	0
175	9.5	0
176	9.5	0
177	9.5	0
178	10.5	0
179	9.6	0
180	9.5	0
181	9.5	0
182	9.3	0
183	9.3	0
184	9.3	0
185	9.3	0
186	9.7	0
187	9.2	0
188	9.7	0
189	9.5	0
190	9.5	0
191	9.4	0
192	9.8	0
193	9.5	0
194	9.7	0
195	9.7	0
196	9.4	0
197	10.2	0
198	10.1	0
199	13	0
200	11.4	0
201	10.3	0
202	9.3	0
203	9.5	0
204	9.2	0
205	9.2	0
206	10.8	0
207	10.8	0
208	9.3	0
209	9.4	0
210	10.5	0
211	12.4	0
212	10	0
213	10.2	0
214	10.1	0
215	9.8	0
216	10.5	0
217	11	0
218	9.1	0
219	9.7	0
220	9.5	0
221	9.4	0
222	9.4	0
223	9.5	0
224	10	0
225	10.4	0
226	10.5	0
227	9.5	0
228	9.8	0
229	10.5	0
230	11	0
231	12.2	0
232	9.9	0
233	9.6	0
234	11	0
235	9	0
236	9	0
237	9	0
238	9.2	0
239	9	0
240	9	0
241	9.3	0
242	10.9	0
243	9.8	0
244	9.2	0
245	9.2	0
246	9.9	0
247	9.5	0
248	9.3	0
249	9.8	0
250	9.9	0
251	10	0
252	9.9	0
253	10.5	0
254	9.5	0
255	9.9	0
256	9.3	0
257	9.2	0
258	9.2	0
259	9.4	0
260	10.5	0
261	9.3	0
262	9.4	0
263	10	0
264	9.3	0
265	10.9	0
266	10.2	0
267	9.8	0
268	12.8	0
269	9.4	0
270	10.1	0
271	10.7	0
272	10.1	0
273	10.1	0
274	9.4	0
275	9.4	0
276	10.7	0
277	9.4	0
278	10.1	0
279	12.6	0
280	10.5	0
281	9.3	0
282	9.9	0
283	9.1	0
284	10.5	0
285	9.8	0
286	9.8	0
287	10.3	0
288	10.3	0
289	10.6	0
290	9.2	0
291	10.6	0
292	10.5	0
293	10.3	0
294	10.1	0
295	9.5	0
296	9.5	0
297	9.9	0
298	9.6	0
299	9.7	0
300	9.6	0
301	10.7	0
302	10.1	0
303	10	0
304	9.5	0
305	9.2	0
306	9.3	0
307	9.4	0
308	9.5	0
309	9.5	0
310	9.5	0
311	9.3	0
312	9.4	0
313	9.5	0
314	9.4	0
315	11	0
316	11	0
317	10.1	0
318	10.4	0
319	11.5	0
320	10.4	0
321	11.5	0
322	9.7	0
323	9.3	0
324	9.5	0
325	9.2	0
326	9.2	0
327	11.5	0
328	11.5	0
329	9.7	0
330	9.5	0
331	12.5	0
332	12.5	0
333	9.4	0
334	11	0
335	11.7	0
336	12.2	0
337	12.5	0
338	10.3	0
339	11.5	0
340	9.8	0
341	9.2	0
342	11.3	0
343	9.8	0
344	9.8	0
345	10.7	0
346	9.9	0
347	12.3	0
348	12	0
349	10	0
350	9.4	0
351	9.9	0
352	9.4	0
353	9.3	0
354	13	0
355	11.9	0
356	12.8	0
357	11	0
358	11.7	0
359	10.4	0
360	9.8	0
361	9.4	0
362	9.9	0
363	10	0
364	10.2	0
365	10	0
366	11.8	0
367	10	0
368	9	0
369	9.4	0
370	12	0
371	9.9	0
372	8.7	0
373	10.6	0
374	9.2	0
375	10.8	0
376	11.8	0
377	11	0
378	12	0
379	13.3	0
380	10.8	0
381	9.4	0
382	10	0
383	9.4	0
384	9.4	0
385	9.2	0
386	9.7	0
387	9.2	0
388	9.6	0
389	9.2	0
390	10	0
391	12.9	0
392	10	0
393	9.5	0
394	9.1	0
395	9.9	0
396	13	0
397	9.9	0
398	11	0
399	11	0
400	9.4	0
401	9.9	0
402	10.8	0
403	10.5	0
404	10.5	0
405	9.1	0
406	10.1	0
407	10.8	0
408	10.8	0
409	11.3	0
410	9.6	0
411	9.5	0
412	9.5	0
413	9.3	0
414	11.7	0
415	9.5	0
416	9.3	0
417	11.7	0
418	10.5	0
419	10.4	0
420	9.9	0
421	11.8	0
422	12.3	0
423	10.9	0
424	11	0
425	10.9	0
426	12.3	0
427	11.4	0
428	10.6	0
429	9.3	0
430	10.4	0
431	11	0
432	9.2	0
433	12.8	0
434	9.5	0
435	9.9	0
436	9.5	0
437	10.2	0
438	11.2	0
439	9.9	0
440	9.3	0
441	9.8	0
442	11.3	0
443	11.2	0
444	11.6	0
445	12.5	0
446	10.1	0
447	10.5	0
448	11.2	0
449	10.2	0
450	10.8	0
451	10.8	0
452	9.1	0
453	10	0
454	11.2	0
455	11.1	0
456	13.4	0
457	10.3	0
458	9.6	0
459	11.2	0
460	9	0
461	11.3	0
462	9.3	0
463	11.8	0
464	9	0
465	9.2	0
466	9.7	0
467	11.5	0
468	14	0
469	9.2	0
470	9.8	0
471	10.6	0
472	11.4	0
473	10.4	0
474	10.6	0
475	9.4	0
476	10.2	0
477	9.7	0
478	11	0
479	10.2	0
480	10.1	0
481	9.2	0
482	11.7	0
483	9.4	0
484	9.4	0
485	13.4	0
486	10	0
487	10	0
488	10	0
489	10.8	0
490	10.2	0
491	10.6	0
492	13.3	0
493	13.4	0
494	11.6	0
495	12.1	0
496	11	0
497	9	0
498	11.1	0
499	11	0
500	11.6	0
501	9	0
502	12	0
503	12	0
504	10.9	0
505	10.8	0
506	12.5	0
507	10.8	0
508	9.5	0
509	10.2	0
510	11.4	0
511	9.5	0
512	10.2	0
513	9.7	0
514	11.8	0
515	11.8	0
516	9.3	0
517	11.9	0
518	8.4	0
519	11.7	0
520	11	0
521	10	0
522	9.1	0
523	9.8	0
524	9.4	0
525	9.5	0
526	9.9	0
527	11	0
528	11.4	0
529	8.7	0
530	9.4	0
531	10.3	0
532	10.3	0
533	10.3	0
534	12.8	0
535	10	0
536	10.3	0
537	9.4	0
538	10.7	0
539	12	0
540	11.2	0
541	9.6	0
542	11	0
543	9.9	0
544	11	0
545	8.4	0
546	9.1	0
547	9.5	0
548	10.7	0
549	10.4	0
550	9.4	0
551	9.5	0
552	10	0
553	10	0
554	11.5	0
555	11.1	0
556	11.1	0
557	11.7	0
558	11.1	0
559	11.7	0
560	12.7	0
561	11.4	0
562	9.2	0
563	9.2	0
564	10.1	0
565	12.7	0
566	11.4	0
567	9	0
568	9	0
569	10.7	0
570	11.7	0
571	11	0
572	11.7	0
573	10.4	0
574	9.6	0
575	10	0
576	10.2	0
577	10	0
578	9.5	0
579	9.8	0
580	9.8	0
581	9.6	0
582	9.6	0
583	9.2	0
584	9.9	0
585	10.7	0
586	9.6	0
587	10.6	0
588	9.3	0
589	14	0
590	10.5	0
591	9.7	0
592	11.5	0
593	9.7	0
594	9	0
595	9.5	0
596	9.3	0
597	9.3	0
598	10	0
599	9.8	0
600	9.3	0
601	10	0
602	9	0
603	9.3	0
604	9	0
605	9.1	0
606	9.2	0
607	12.2	0
608	10.5	0
609	10.4	0
610	12.7	0
611	9.2	0
612	9.4	0
613	10	0
614	9.8	0
615	10.2	0
616	9.7	0
617	9.7	0
618	9.8	0
619	10.2	0
620	9.3	0
621	9.4	0
622	9.4	0
623	9.5	0
624	12.1	0
625	10.2	0
626	10.2	0
627	9.1	0
628	9.1	0
629	9.3	0
630	9.3	0
631	9.3	0
632	9.5	0
633	10.5	0
634	11.3	0
635	9.5	0
636	9.7	0
637	9.4	0
638	9.4	0
639	10.2	0
640	10.3	0
641	9.4	0
642	9.5	0
643	9.4	0
644	9.5	0
645	9.4	0
646	10.1	0
647	10.1	0
648	11	0
649	11.2	0
650	11.3	0
651	9.6	0
652	11.2	0
653	14.9	0
654	12	0
655	9.5	0
656	9.4	0
657	9.6	0
658	10.5	0
659	9.6	0
660	11	0
661	9.6	0
662	9	0
663	9.6	0
664	10.2	0
665	10.2	0
666	9.7	0
667	9.5	0
668	9.2	0
669	11	0
670	9.2	0
671	10	0
672	9.5	0
673	9.5	0
674	9.5	0
675	9.3	0
676	10.2	0
677	9.3	0
678	9.9	0
679	10	0
680	9.6	0
681	9	0
682	10.2	0
683	9.8	0
684	11.3	0
685	9.4	0
686	11.3	0
687	9.1	0
688	9.7	0
689	9.4	0
690	9.4	0
691	10.7	0
692	9.8	0
693	9	0
694	9.4	0
695	9.4	0
696	12.8	0
697	9.5	0
698	9.5	0
699	9.7	0
700	10.8	0
701	10.1	0
702	9.5	0
703	9.4	0
704	9.6	0
705	9.7	0
706	9.9	0
707	10	0
708	10.5	0
709	11.6	0
710	10	0
711	10.1	0
712	9.5	0
713	9.4	0
714	9.4	0
715	9.8	0
716	9.2	0
717	9.4	0
718	10	0
719	9.6	0
720	9.5	0
721	9.6	0
722	9.2	0
723	10	0
724	9.5	0
725	11.2	0
726	10.4	0
727	11.1	0
728	9.5	0
729	9.5	0
730	12.7	0
731	9.6	0
732	11.5	0
733	9.6	0
734	9.5	0
735	9.3	0
736	9.5	0
737	9.5	0
738	9.3	0
739	9.2	0
740	9.3	0
741	11.5	0
742	9.5	0
743	9.2	0
744	10	0
745	9.5	0
746	9.5	0
747	9	0
748	9.4	0
749	9.6	0
750	9.5	0
751	9.5	0
752	9.5	0
753	9.4	0
754	9.5	0
755	9.1	0
756	10.7	0
757	11.2	0
758	9.8	0
759	9.8	0
760	9.2	0
761	9.7	0
762	9.6	0
763	10	0
764	9.6	0
765	9.5	0
766	9.5	0
767	9.4	0
768	9.5	0
769	9.7	0
770	9.6	0
771	9.7	0
772	9.4	0
773	9.4	0
774	9.5	0
775	9.5	0
776	10	0
777	10.3	0
778	10.3	0
779	10.5	0
780	9.8	0
781	9.4	0
782	9.8	0
783	10	0
784	9.8	0
785	9.8	0
786	9.5	0
787	9.5	0
788	10.1	0
789	10.1	0
790	9.3	0
791	9.7	0
792	9.6	0
793	9.7	0
794	10.8	0
795	12.5	0
796	10.2	0
797	9.6	0
798	10.8	0
799	10.7	0
800	10.7	0
801	9.4	0
802	10	0
803	12.9	0
804	9.6	0
805	9.9	0
806	12.8	0
807	12.5	0
808	12.8	0
809	9.2	0
810	10.3	0
811	10.5	0
812	10.9	0
813	10.8	0
814	11.4	0
815	11.3	0
816	10.8	0
817	10.5	0
818	11.9	0
819	9.4	0
820	9.6	0
821	9.7	0
822	14	0
823	9.8	0
824	9.8	0
825	10.3	0
826	10.7	0
827	11	0
828	10.7	0
829	12.7	0
830	11.1	0
831	10.9	0
832	11.1	0
833	9.9	0
834	9.9	0
835	9.4	0
836	9.3	0
837	11.7	0
838	11.7	0
839	11.2	0
840	10	0
841	12.1	0
842	10.3	0
843	10.9	0
844	9.4	0
845	10.6	0
846	9.8	0
847	9.8	0
848	9.9	0
849	9.8	0
850	9.8	0
851	9.5	0
852	9.5	0
853	9.7	0
854	10.9	0
855	10.9	0
856	11.7	0
857	10.9	0
858	11.3	0
859	10.6	0
860	11.2	0
861	9.5	0
862	11.5	0
863	10.4	0
864	9.7	0
865	9.5	0
866	9.7	0
867	11.3	0
868	11.2	0
869	11.2	0
870	10.9	0
871	11.8	0
872	10.6	0
873	10	0
874	11.1	0
875	11.8	0
876	11.8	0
877	10.9	0
878	11.8	0
879	10	0
880	9.5	0
881	9.9	0
882	11.4	0
883	12	0
884	9.5	0
885	10	0
886	10.5	0
887	10.4	0
888	12.1	0
889	11.2	0
890	9.3	0
891	10.1	0
892	9.7	0
893	9.3	0
894	9.7	0
895	9.8	0
896	10.7	0
897	12.5	0
898	10.7	0
899	12.5	0
900	11	0
901	11.8	0
902	10.8	0
903	10.8	0
904	10.8	0
905	10.8	0
906	9.5	0
907	11	0
908	11.5	0
909	10.8	0
910	11.5	0
911	13.2	0
912	10.9	0
913	12.2	0
914	12.2	0
915	11.5	0
916	11.9	0
917	11	0
918	10.1	0
919	11	0
920	11.8	0
921	10.5	0
922	11	0
923	11.8	0
924	10.1	0
925	11.2	0
926	11	0
927	10.2	0
928	9.2	0
929	11.2	0
930	12	0
931	10.5	0
932	9.8	0
933	9.5	0
934	9.8	0
935	10.5	0
936	11.8	0
937	11.8	0
938	10.4	0
939	12.9	0
940	11.4	0
941	12.4	0
942	12.5	0
943	10	0
944	9.7	0
945	12.1	0
946	11.1	0
947	12	0
948	12.4	0
949	11.9	0
950	11.9	0
951	11.9	0
952	12.4	0
953	11.2	0
954	12.1	0
955	12.2	0
956	10.4	0
957	11.3	0
958	11.1	0
959	11.3	0
960	10	0
961	11.1	0
962	9.3	0
963	9.5	0
964	11.2	0
965	11.1	0
966	11	0
967	11.9	0
968	9.2	0
969	12.2	0
970	10.2	0
971	10.9	0
972	10.9	0
973	11.6	0
974	10.7	0
975	12.1	0
976	9.4	0
977	9.4	0
978	9.1	0
979	11.3	0
980	10.4	0
981	10.5	0
982	10	0
983	12.9	0
984	10.5	0
985	10.4	0
986	11.3	0
987	11.4	0
988	9.4	0
989	9.4	0
990	10.9	0
991	9.4	0
992	9.4	0
993	9.4	0
994	9.4	0
995	9.4	0
996	10.1	0
997	12.8	0
998	12.8	0
999	9.1	0
1000	12.9	0
1001	11.5	0
1002	10.6	0
1003	11.7	0
1004	12.8	0
1005	10.3	0
1006	12.8	0
1007	11.7	0
1008	11.7	0
1009	12	0
1010	10.9	0
1011	12.3	0
1012	10.4	0
1013	10	0
1014	10	0
1015	11.2	0
1016	11.4	0
1017	12.6	0
1018	12.7	0
1019	12.7	0
1020	10.4	0
1021	11.9	0
1022	11.9	0
1023	10.5	0
1024	12.3	0
1025	10.5	0
1026	10.4	0
1027	12.6	0
1028	11.6	0
1029	10.1	0
1030	10.5	0
1031	11.5	0
1032	11	0
1033	9.6	0
1034	10.4	0
1035	9.7	0
1036	10.6	0
1037	12.5	0
1038	9.2	0
1039	12.6	0
1040	11.1	0
1041	10.2	0
1042	9.8	0
1043	11.1	0
1044	10.9	0
1045	12.2	0
1046	11.4	0
1047	10.7	0
1048	10.4	0
1049	10.9	0
1050	10.8	0
1051	10.4	0
1052	9.2	0
1053	12.9	0
1054	12.7	0
1055	9.1	0
1056	9.1	0
1057	12.1	0
1058	9.1	0
1059	11.6	0
1060	12.1	0
1061	9.9	0
1062	12.5	0
1063	11.4	0
1064	11.8	0
1065	11.8	0
1066	10.2	0
1067	12.5	0
1068	10.9	0
1069	10.9	0
1070	10.8	0
1071	11.1	0
1072	9.2	0
1073	9.5	0
1074	10.7	0
1075	9.2	0
1076	10.2	0
1077	11.4	0
1078	11	0
1079	11	0
1080	12.3	0
1081	11.8	0
1082	12.3	0
1083	9.5	0
1084	12	0
1085	9.5	0
1086	9.6	0
1087	11.6	0
1088	11.2	0
1089	9.9	0
1090	9.9	0
1091	11.8	0
1092	11.4	0
1093	11.5	0
1094	12	0
1095	10.8	0
1096	10.5	0
1097	10.8	0
1098	9.4	0
1099	12.5	0
1100	9.4	0
1101	12.4	0
1102	12	0
1103	11.2	0
1104	12	0
1105	12.4	0
1106	12.8	0
1107	12.3	0
1108	11.7	0
1109	9.5	0
1110	10.8	0
1111	10	0
1112	12.3	0
1113	11	0
1114	9.5	0
1115	13.6	0
1116	11.3	0
1117	11.3	0
1118	11.3	0
1119	13.3	0
1120	12.9	0
1121	13.1	0
1122	12.3	0
1123	12.3	0
1124	11.2	0
1125	11.5	0
1126	11.3	0
1127	13.5	0
1128	11.5	0
1129	10	0
1130	10.5	0
1131	10.4	0
1132	9.5	0
1133	13.6	0
1134	11.2	0
1135	11.8	0
1136	11.9	0
1137	11.4	0
1138	11.4	0
1139	9.1	0
1140	9.5	0
1141	9.5	0
1142	11	0
1143	11.4	0
1144	10	0
1145	10.1	0
1146	10.4	0
1147	9.8	0
1148	11.8	0
1149	11.6	0
1150	12	0
1151	12.8	0
1152	12.5	0
1153	9.8	0
1154	11.1	0
1155	11.4	0
1156	9.8	0
1157	11.8	0
1158	12.9	0
1159	10.6	0
1160	10.8	0
1161	11.1	0
1162	10.2	0
1163	11.8	0
1164	10	0
1165	10	0
1166	9.4	0
1167	10.2	0
1168	12.4	0
1169	12	0
1170	11.5	0
1171	10.5	0
1172	10.8	0
1173	12.3	0
1174	9.5	0
1175	9.5	0
1176	11.5	0
1177	11.2	0
1178	12.7	0
1179	11.4	0
1180	11	0
1181	11	0
1182	11.4	0
1183	10.5	0
1184	9.3	0
1185	10.9	0
1186	11.9	0
1187	12.2	0
1188	11.9	0
1189	10.9	0
1190	9.6	0
1191	12.5	0
1192	10.8	0
1193	12.4	0
1194	10.8	0
1195	9.5	0
1196	9.5	0
1197	9.5	0
1198	9.8	0
1199	10.9	0
1200	9.5	0
1201	9.8	0
1202	11.2	0
1203	11.7	0
1204	9.4	0
1205	11	0
1206	11	0
1207	11	0
1208	10	0
1209	11	0
1210	11.2	0
1211	10.4	0
1212	9.3	0
1213	10.4	0
1214	10.5	0
1215	10.4	0
1216	11.3	0
1217	9.5	0
1218	12	0
1219	10.6	0
1220	10.9	0
1221	11.5	0
1222	11.5	0
1223	9.6	0
1224	12	0
1225	10.3	0
1226	9.4	0
1227	9.2	0
1228	9.6	0
1229	13.6	0
1230	9.5	0
1231	11.8	0
1232	10.8	0
1233	9.5	0
1234	9.3	0
1235	12.8	0
1236	11.5	0
1237	9.4	0
1238	12.8	0
1239	9.6	0
1240	11.8	0
1241	9.3	0
1242	9.8	0
1243	12.2	0
1244	9.5	0
1245	10.3	0
1246	10.5	0
1247	10	0
1248	10.5	0
1249	11.1	0
1250	10.9	0
1251	10.9	0
1252	9.8	0
1253	9.8	0
1254	9.5	0
1255	10.9	0
1256	11	0
1257	9.2	0
1258	11	0
1259	11.3	0
1260	11.3	0
1261	9.3	0
1262	11.2	0
1263	9.8	0
1264	9.6	0
1265	11.8	0
1266	10.3	0
1267	10.3	0
1268	11.4	0
1269	9.5	0
1270	14	0
1271	14	0
1272	11.7	0
1273	11.2	0
1274	9.3	0
1275	11.2	0
1276	9.5	0
1277	12	0
1278	9.7	0
1279	9.5	0
1280	11.5	0
1281	10.4	0
1282	10.4	0
1283	10.9	0
1284	10.2	0
1285	10.9	0
1286	10.5	0
1287	12.4	0
1288	13	0
1289	10.2	0
1290	10.2	0
1291	11	0
1292	10.9	0
1293	12.4	0
1294	9.7	0
1295	10.9	0
1296	9.5	0
1297	9.5	0
1298	12.1	0
1299	12.2	0
1300	10.9	0
1301	12.5	0
1302	11.7	0
1303	11.2	0
1304	11.2	0
1305	9.2	0
1306	9.8	0
1307	10.1	0
1308	11.1	0
1309	10.1	0
1310	9.2	0
1311	9.8	0
1312	12.8	0
1313	10.5	0
1314	10.1	0
1315	10.1	0
1316	9.8	0
1317	12.5	0
1318	11.9	0
1319	9.8	0
1320	9.1	0
1321	10.1	0
1322	12.5	0
1323	11.4	0
1324	11	0
1325	10.6	0
1326	10.6	0
1327	10.6	0
1328	10.6	0
1329	9.3	0
1330	9.8	0
1331	9.8	0
1332	9.2	0
1333	9.7	0
1334	9.6	0
1335	10	0
1336	12.6	0
1337	9.5	0
1338	9.5	0
1339	9.5	0
1340	10.5	0
1341	10.5	0
1342	10.5	0
1343	10.4	0
1344	10.5	0
1345	11	0
1346	10.2	0
1347	11.4	0
1348	9.5	0
1349	9.5	0
1350	10.8	0
1351	10	0
1352	11.8	0
1353	10.3	0
1354	10.3	0
1355	10	0
1356	10.1	0
1357	10.1	0
1358	11.1	0
1359	9.5	0
1360	10.03333333	0
1361	10.9	0
1362	10.1	0
1363	10.03333333	0
1364	9.8	0
1365	11.8	0
1366	9.5	0
1367	9.8	0
1368	10.5	0
1369	9.8	0
1370	10.4	0
1371	9.2	0
1372	11.6	0
1373	9.2	0
1374	9.3	0
1375	9.8	0
1376	9.9	0
1377	10	0
1378	12.2	0
1379	9.9	0
1380	10.8	0
